Y1,Y2,Y3
54.605,83.125,52.61416667
81.5975,51.59916667,88.55166667
53.18,84.46333333,65.51333333
84.12333333,79.55083333,80.37583333
54.58583333,61.39583333,60.39916667
75.05916667,64.775,62.685
72.9875,52.7475,92.3675
72.94583333,93.59583333,51.38
76.72583333,49.69166667,74.87666667
52.605,84.1725,71.70333333
74.09583333,63.65583333,56.8725
88.10083333,58.9425,56.81583333
57.49416667,72.51416667,88.81166667
54.84416667,78.58583333,63.26666667
53.745,56.405,82.61666667
71.11583333,77.97333333,52.0825
47.82333333,60.295,72.45166667
82.88333333,61.37166667,84.36916667
37.18833333,60.49166667,87.43583333
45.21166667,77.6075,71.89833333
82.39916667,76.89666667,82.1075
64.02916667,67.235,62.7425
76.92083333,68.32916667,53.19083333
64.21333333,64.365,71.88333333
78.7325,69.095,64.89833333
,61.43916667,78.02083333
,47.57166667,48.10166667
,56.29666667,48.90833333
,91.24666667,58.16583333
,57.91583333,69.9575
,,59.395
,,57.84333333
,,62.46416667
,,53.305
,,66.15666667
